PIC_ID,WETLAND_NAME,ADDRESS,LATITUDE,LONGITUDE,WETLAND_TYPE
854,단밀습지,경상북도 의성군 단밀면 속암리,"N36°21’35.28""","E128°23’50.95""",하도습지
855,미천 보습지1,경상북도 안동시 일직면 구천리,"N36°28’41.74""","E128°39’56.11""",보습지
856,미천 보습지2,경상북도 안동시 일직면 광연리,"N36°26’17.88""","E128°40’10.30""",보습지
857,미천 보습지3,경상북도 의성군 단촌면 병방리,"N36°25’59.05""","E128°42’57.32""",보습지
858,위천 하도습지,경상북도 의성군 비안면 쌍계리,"N36°19’02.68""","E128°32’00.54""",하도습지
859,쌍계천 보습지,경상북도 의성군 봉양면 구산리,"N36°17’12.38""","E128°36’45.96""",보습지
860,남대천 보습지,경상북도 의성군 의성읍 원당리,"N36°21’00.46""","E128°40’08.80""",보습지
861,강호습지,경상북도 김천시 아포읍 지리,"N36°11’42.99""","E128°14’16.80""",하도습지
862,샛강습지,경상북도 구미시 고아읍 문성리,"N36°07’52.82""","E128°21’17.47""",배후습지
863,해평습지,경상북도 구미시 고아읍 괴평리,"N36°10’08.00""","E128°22’53.34""",하도습지
864,금오산저수지,경상북도 김천시 아포읍 대성리,"N36°07’04.41""","E128°18’58.91""",인공호습지
865,장제지습지,경상북도 의성군 가음면 장리,"N36°14’17.56""","E128°43’26.28""",담수호습지
866,순호지,경상북도 의성군 가음면 순호리,"N36°12’21.95""","E128°43’38.82""",담수호습지
867,새마습지,경상북도 군위군 산성면 운산리,"N36°06’33.98""","E128°41’56.53""",배후습지
868,하마지습지,경상북도 영천시 신녕면 완전리,"N36°02’16.28""","E128°47’57.67""",담수호습지
869,갈마지못습지,경상북도 영천시 화산면 대기리,"N36°01’04.7""","E128°55’06.1""",인공호습지
870,소월지습지,경상북도 경산시 와촌면 소월리,"N35°56’41.6""","E128°49’39.0""",인공호습지
871,신지습지,경상북도 경산시 하양읍 교리,"N35°55’36.3""","E128°48’56.9""",인공호습지
872,대내지습지,경상북도 영천시 화남면 신호리,"N36°02’31.20""","E128°56’31.89""",담수호습지
873,송촌리습지,경기도 남양주시 조안면 송촌리,"N37°34’18.19""","E127°19’45.69""",하도습지
874,안흥1습지(동두천),경기도 양주시 은현면 봉암리,"N37°55’28.29""","E127°01’24.55""",소택지
875,안흥2습지(동두천),경기도 양주시 은현면 봉암리,"N37°55’17.50""","E127°01’11.16""",소택지
876,포천1습지,경기도 포천시 군내면 용정리,"N37°53’26.92""","E127°11’04.88""",소택지
877,포천2습지,경기도 포천시 군내면 용정리,"N37°53’22.74""","E127°11’15.17""",소택지
878,삼성당습지,경기도 포천시 신북면 삼성당리,"N37°57’03.79""","E127°11’23.49""",소택지
879,구읍습지,경기도 포천시 군내면 구읍리,"N37°53’17.85""","E127°12’51.74""",소택지
880,추동습지(포천),경기도 포천시 창수면 추동리,"N37°58’57.93""","E127°10’57.05""",하도습지
881,어룡습지,경기도 포천시 군내면 용정리,"N37°53’25.99""","E127°10’49.82""",소택지
882,상판습지,경기도 가평군 조종면 상판리,"N37°54’06.33""","E127°23’09.52""",소택지
883,신팔1습지,경기도 포천시 내촌면 신팔리,"N37°49’51.09""","E127°15’57.41""",소택지
884,신팔2습지,경기도 포천시 내촌면 신팔리,"N37°50’56.82""","E127°16’48.09""",소택지
885,명덕습지,경기도 포천시 화현면 명덕리,"N37°51’18.73""","E127°16’02.78""",소택지
886,승안습지,경기도 가평군 가평읍 승안리,"N37°50’42.50""","E127°28’41.69""",소택지
887,산유1습지,경기도 가평군 가평읍 산유리,"N37°45’47.05""","E127°29’55.27""",소택지
