PIC_ID,WETLAND_NAME,ADDRESS,LATITUDE,LONGITUDE,WETLAND_TYPE
367,의흥습지,경상북도 군위군 의흥면 이지리,"N36°44’01.23""","E128°52’55.96""",하도습지
368,성덕저수지,경상북도 청송군 현서면 수락리,"N36°42’48.07""","E128°50’10.27""",인공호습지
369,양항습지,경상북도 영천시 임고면 양항리,"N36°41’40.37""","E128°47’58.73""",하도습지
370,쌍전리1습지,경상북도 울진군 금강송면 쌍전리,"N36°42’59.55""","E128°36’17.36""",소택지
371,쌍전리2습지,경상북도 울진군 금강송면 쌍전리,"N36°41’08.33""","E128°52’47.29""",소택지
372,쌍전리3습지,경상북도 울진군 금강송면 쌍전리,"N36°38’31.66""","E128°51’51.92""",저층습원
373,쌍전리4습지,경상북도 울진군 금강송면 쌍전리,"N36°26’17.88""","E128°40’10.30""",저층습원
374,발리리습지,경상북도 영양군 수비면 발리리,"N36°28’41.74""","E128°39’56.11""",소택지
375,신원리습지,경상북도 영양군 수비면 신원리,"N36°36’02.67""","E128°56’14.46""",담수호습지
376,대흥리습지,경상북도 울진군 울진읍 대흥리,"N36°34’59.46""","E128°57’05.10""",소택지
377,신림리습지,경상북도 울진군 울진읍 신림리,"N36°36’08.94""","E128°54’17.94""",저층습원
378,왕피리습지,경상북도 울진군 금강송면 왕피리,"N36°28’51.81""","E128°53’10.95""",소택지
379,천축산4습지,경상북도 울진군 금강송면 왕피리,"N36°30’54.59""","E128°50’09.89""",저층습원
380,천축산1습지,경상북도 울진군 금강송면 왕피리,"N36°33’02.05""","E128°35’22.63""",저층습원
381,읍남리습지,경상북도 울진군 울진읍 읍남리,"N36°32’45.38""","E128°38’22.50""",소택지
382,산포리습지,경상북도 울진군 근남면 산포리,"N36°32’49.10""","E128°29’41.73""",소택지
383,진복리1습지,경상북도 울진군 근남면 진복리,"N36°31’32.19""","E128°26’27.82""",소택지
384,진복리2습지,경상북도 울진군 근남면 진복리,"N36°32’06.44""","E128°32’07.81""",소택지
385,어천리습지,경상북도 청송군 파천면 어천리,"N36°22’39.73""","E129°22’47.58""",배후습지
386,용전천2습지,경상북도 청송군 파천면 중평리,"N36°22’29.97""","E129°22’49.29""",하도습지
387,용전천3습지,경상북도 청송군 청송읍 송생리,"N36°24’30.67""","E129°23’18.69""",하도습지
388,용전천4습지,경상북도 청송군 부동면 상평리,"N36°19’51.96""","E129°20’33.25""",하도습지
389,대서천3습지,경상북도 포항시 북구 죽장면 하옥리,"N36°21’42.20""","E129°17’24.17""",하도습지
390,대서천2습지,경상북도 포항시 북구 죽장면 하옥리,"N36°34’15.80""","E129°25’06.92""",하도습지
391,영덕오십천1습지,경상북도 영덕군 지품면 오천리,"N36°32’37.01""","E129°23’23.00""",하도습지
392,영창습지,경상북도 영덕군 강구면 하저리,"N36°34’58.58""","E129°24’38.62""",소택지
393,성법소류지습지,경상북도 포항시 북구 기북면 성법리,"N36°34’34.03""","E129°24’06.39""",담수호습지
394,기계천3습지,경상북도 포항시 북구 기북면 오덕리,"N36°35’45.10""","E129°21’22.49""",하도습지
395,저암못습지,경상북도 포항시 북구 기북면 관천리,"N36°24’55.30""","E129°21’45.88""",담수호습지
396,영천호1습지,경상북도 영천시 자양면 용산리,"N36°25’41.59""","E129°21’35.97""",담수호습지
397,영천호2습지,경상북도 영천시 자양면 삼귀리,"N36°26’52.01""","E129°23’44.78""",담수호습지
398,영천호3습지,경상북도 영천시 자양면 노항리,"N36°33’19.62""","E129°24’25.08""",담수호습지
399,기계천구하도습지,경상북도 경주시 안강읍 노당리,"N36°32’22.43""","E129°22’49.57""",우각호습지
400,기계천1습지,경상북도 포항시 북구 기계면 성계리,"N36°32’05.11""","E129°22’28.97""",하도습지
401,숲각단습지,경상북도 포항시 북구 기계면 현내리,"N36°26’07.78""","E129°20’19.93""",간척호습지
402,기계천2습지,경상북도 포항시 북구 기계면 현내리,"N36°28’05.08""","E129°17’49.44""",하도습지
403,덕산서사습지,경상북도 경주시 안강읍 산대리,"N36°34’59.78""","E129°19’25.02""",인공호습지
404,월포습지(포항),경상북도 포항시 북구 청하면 월포리,"N36°35’34.70""","E129°20’02.02""",채굴지습지
405,장자습지(포항),경상북도 포항시 북구 흥해읍 덕장리,"N36°46’24.54""","E129°11’10.98""",담수호습지
406,곡강천하구습지,경상북도 포항시 북구 흥해읍 흥안리,"N36°45’06.33""","E129°13’32.76""",하구염습지
407,배머리못습지,경상북도 포항시 남구 연일읍 생지리,"N36°38’28.96""","E129°05’30.17""",우각호습지
408,천마곡습지,경상북도 포항시 북구 흥해읍 남송리,"N36°39’46.80""","E129°07’48.80""",소택지
409,대서천1습지,경상북도 영덕군 달산면 옥산리,"N36°40’23.09""","E129°07’44.72""",하도습지
410,청옥산습지,경상북도 봉화군 소천면 고선리,"N36°39’28.79""","E129°08’09.56""",고층습원
411,구문소습지,경상북도 봉화군 석포면 대현리,"N36°40’01.37""","E129°08’10.66""",하도습지
412,사군다리습지,경상북도 봉화군 석포면 대현리,"N36°41’01.87""","E129°06’30.69""",하도습지
413,면산습지,경상북도 봉화군 석포면 석포리,"N36°32’36.35""","E129°04’08.85""",저층습원
414,부구습지,경상북도 울진군 북면 부구리,"N36°43’48.34""","E128°37’27.77""",하도습지
415,남양습지,경상남도 남해군 설천면 남양리,"N36°45’35.07""","E128°37’40.51""",소택지
416,문의습지,경상남도 남해군 설천면 문의리,"N36°50’39.85""","E128°28’06.37""",소택지
417,진목습지(남해),경상남도 남해군 설천면 진목리,"N36°46’57.48""","E128°29’02.51""",간척호습지
418,다평습지,경상남도 사천시 서포면 다평리,"N36°50’16.93""","E128°36’34.06""",간척호습지
419,술상습지,경상남도 하동군 진교면 술상리,"N36°51’25.24""","E128°41’09.41""",간척호습지
420,강호습지,경상북도 김천시 아포읍 지리,"N36°44’15.37""","E128°40’47.65""",하도습지
421,샛강습지,경상북도 구미시 고아읍 문성리,"N36°53’06.80""","E128°29’01.46""",배후습지
422,해평습지,경상북도 구미시 고아읍 괴평리,"N35°57’57.19""","E128°57’25.07""",하도습지
423,금오산저수지,경상북도 김천시 아포읍 대성리,"N35°59’00.63""","E128°57’19.02""",인공호습지
424,장제지습지,경상북도 의성군 가음면 장리,"N35°59’57.54""","E129°04’15.29""",담수호습지
425,순호지,경상북도 의성군 가음면 순호리,"N35°59’49.63""","E129°02’06.51""",담수호습지
426,새마습지,경상북도 군위군 산성면 운산리,"N35°55’18.37""","E128°53’55.88""",배후습지
427,하마지습지,경상북도 영천시 신녕면 완전리,"N35°55’21.42""","E128°56’32.85""",담수호습지
428,갈마지못습지,경상북도 영천시 화산면 대기리,"N35°54’21.76""","E128°51’21.25""",인공호습지
429,소월지습지,경상북도 경산시 와촌면 소월리,"N35°57’07.80""","E128°55’18.87""",인공호습지
430,신지습지,경상북도 경산시 하양읍 교리,"N35°56’17.38""","E128°54’01.21""",인공호습지
431,대내지습지,경상북도 영천시 화남면 신호리,"N35°52’30.24""","E128°53’11.54""",담수호습지
432,대산습지(거창),경상남도 거창군 남상면 월평리,"N35°55’38.15""","E128°58’33.48""",하도습지
433,옥매습지,경상남도 함양군 유림면 옥매리,"N36°02’16.28""","E128°47’57.67""",하도습지
434,유림습지,경상남도 함양군 함양읍 백천리,"N36°00’26.37""","E128°58’31.31""",하도습지
435,율림습지,경상남도 함양군 수동면 상백리,"N36°04’02.22""","E129°02’56.96""",하도습지
436,수동농공단지습지,경상남도 함양군 함양읍 백천리,"N36°04’56.76""","E129°03’27.42""",하도습지
437,창평교습지,경상남도 함양군 지곡면 도촌리,"N36°04’59.11""","E129°02’22.62""",하도습지
438,대궁교습지,경상남도 함양군 유림면 대궁리,"N36°05’38.90""","E129°03’53.71""",보습지
439,왕등재습지,경상남도 산청군 삼장면 유평리,"N36°46’28.02""","E129°24’32.85""",고층습원
440,외고개습지,경상남도 산청군 삼장면 유평리,"N36°44’49.17""","E129°27’34.73""",소택지
441,범학늪,경상남도 산청군 신안면 외송리,"N36°52’53.37""","E129°23’47.54""",하도습지
442,오미늪,경상남도 진주시 명석면 오미리,"N36°54’53.97""","E129°22’48.97""",인공호습지
443,다압금천습지,경상남도 하동군 화개면 부춘리,"N36°53’43.71""","E129°24’41.53""",하도습지
444,악양습지(하동),경상남도 하동군 악양면 봉대리,"N36°54’38.90""","E129°24’23.53""",하도습지
445,영당습지,경상남도 하동군 화개면 덕은리,"N37°07’41.37""","E129°21’20.91""",하도습지
446,두곡습지(하동),경상남도 하동군 하동읍 읍내리,"N37°07’41.88""","E129°20’51.77""",하도습지
447,본촌늪,경상남도 사천시 곤명면 본촌리,"N37°06’00.15""","E129°22’15.19""",하도습지
448,완사늪,경상남도 사천시 곤명면 신흥리,"N36°41’33.58""","E129°22’43.75""",하도습지
449,원촌리습지,경상남도 창녕군 고암면 원촌리,"N36°45’43.97""","E129°22’18.04""",담수호습지
450,금천리습지(청도),경상북도 청도군 각북면 금천리,"N36°58’57.14""","E129°18’08.44""",저층습원
451,주리1습지,대구광역시 달성군 가창면 주리,"N36°59’43.38""","E129°19’40.15""",저습지
452,용리습지,대구광역시 달성군 유가면 용리,"N36°59’39.56""","E129°24’30.67""",소택지
453,옥천리습지,경상남도 창녕군 창녕읍 옥천리,"N36°59’38.06""","E129°23’05.85""",소택지
454,우천리습지,경상남도 창녕군 고암면 우천리,"N36°58’41.40""","E129°24’14.38""",소택지
455,고연정저수지,경상남도 창녕군 고암면 억만리,"N37°02’04.75""","E129°23’42.53""",담수호습지
456,호방습지,경상북도 청도군 매전면 호화리,"N37°02’49.29""","E129°23’07.88""",하도습지
457,오진습지,경상북도 청도군 운문면 방음리,"N37°03’37.92""","E129°23’01.07""",하도습지
458,매화습지,경상북도 청도군 청도읍 사촌리,"N37°03’46.60""","E129°23’55.84""",하도습지
459,평능습지,경상남도 밀양시 상동면 안인리,"N36°44’12.74""","E129°25’10.10""",하도습지
460,가곡습지(밀양),경상남도 밀양시 산외면 남기리,"N36°44’28.74""","E129°28’11.76""",하도습지
461,예전습지,경상북도 청도군 매전면 예전리,"N36°43’42.40""","E129°27’09.93""",하도습지
462,내호습지,경상남도 밀양시 상동면 옥산리,"N36°12’21.95""","E128°43’38.82""",하도습지
463,단장습지,경상남도 밀양시 산외면 금곡리,"N36°14’17.56""","E128°43’26.28""",하도습지
464,사자평습지,경상남도 밀양시 단장면 구천리,"N36°16’11.13""","E128°39’07.77""",저층습원
465,사연습지,경상남도 밀양시 단장면 사연리,"N36°21’35.28""","E128°23’50.95""",하도습지
466,생비량삼거리습지,경상남도 산청군 생비량면 가계리,"N36°25’32.69""","E128°40’52.58""",하도습지
467,디디미못,경상남도 함안군 군북면 동촌리,"N36°25’59.05""","E128°42’57.32""",담수호습지
